title,price,area,location,property_type,publisher,details,main_image,carousel_images
Oficina en arriendo,"$ 57,786,300",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INTERNATIONAL BROKERS COLOMBIA SAS,1 Ambiente 1050.66 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/1805587b-664d-41c7-ae83-0f073dd39e57/photos/1805587b-664d-41c7-ae83-0f073dd39e57_1_True_37ccb8c2-1b33-44b5-8210-8cc0bb9dc4da.jpeg,[]
Oficina en  Arriendo,"$ 4,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,2 Baños200 m²,https://cdn2.infocasas.com.uy/repo/img/66ed81388b646_infocdn__aba90457-bca6-40ee-a6b8-3ca0dd635d8b,[]
Local en arriendo,"$ 41,400,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Nec Otium,1 Ambiente 4 Baños743 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/82554c19-7e7d-46e5-a429-1cd5d802706d/photos/82554c19-7e7d-46e5-a429-1cd5d802706d_1_True_211502a7-27da-44f8-a451-a9354c3221d7.jpeg,[]
Oficina en  Arriendo,"$ 23,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,NELSON MESTIZO FINCA RAIZ,1 Baño403 m²,https://cdn2.infocasas.com.uy/repo/img/66fd9bc623450_infocdn__4838-1-1726505045jpg.jpg,[]
Local en  Arriendo,"$ 32,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,2 Baños430 m²,https://cdn2.infocasas.com.uy/repo/img/66e990ab4238a_infocdn__0dbd6356-178f-4950-88b4-23be49733fbb,[]
Oficina en  Arriendo,"$ 1,800,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Casa 360,1 Ambiente 1 Baño40 m²,https://cdn2.infocasas.com.uy/repo/img/670d980b6a262_infocdn__gr19681920231204111727jpg.jpg,[]
Bodega en  Arriendo,"$ 36,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,6 Baños1400 m²,https://cdn2.infocasas.com.uy/repo/img/66dbc2684bf64_infocdn__dc231f0c-6790-4815-98be-d7a9bbf7c3dc,[]
Oficina en arriendo,"$ 13,289,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 3 Baños250 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/96d3d80e-a849-49d7-a383-3ff4156686ed/photos/96d3d80e-a849-49d7-a383-3ff4156686ed_2_False_e9dbf980-408c-40a7-92fc-a787b419ea23.jpg,[]
Oficina en  Arriendo,"$ 13,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,8 Baños400 m²,https://cdn2.infocasas.com.uy/repo/img/66e8abf7bbe40_infocdn__6873944d-391f-48c8-b153-5b5eac10a852,[]
Local en arriendo,"$ 33,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Century 21 Sinergy,2 Baños648 m²,https://cdn2.infocasas.com.uy/repo/img/670db4455c57e_infocdn__thumb296408dd94a599ejpg.jpg,[]
Oficina en arriendo,"$ 2,725,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,PADS,1 Ambiente 1 Baño61.12 m²,https://cdn2.infocasas.com.uy/repo/img/66f2ac412edaa_infocdn__eyjidwnrzxqioijwywrzlwltywdlcyisimtlesi6ija0zdk1zjllltg4nmqtndkxnc05y2ixlte3m2i1yzlhyziwmy5qcgcilcjlzgl0cyi6eyjyzxnpemuionsid2lkdggiojeyotasimzpdci6imluc2lkzsj9lcj0b0zvcm1hdci6impwzwcifx0=.jpeg,[]
Local en  Arriendo,"$ 12,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,400 m²,https://cdn2.infocasas.com.uy/repo/img/66f5a389c53d0_infocdn__abba57dd-ae1d-4f36-81ab-e576815adcfd,[]
Oficina en  Arriendo,"$ 1,200,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,1 Baño12 m²,https://cdn2.infocasas.com.uy/repo/img/66e992081fc88_infocdn__e0234517-df6b-4cb7-83e5-baa1c5011256,[]
Oficina en  Arriendo,"$ 800,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Casa 360,1 Baño18 m²,https://cdn2.infocasas.com.uy/repo/img/66edd41e13a17_infocdn__gr19681920221018114410jpg.jpg,[]
