title,price,area,location,property_type,publisher,details,main_image,carousel_images
Oficina en arriendo,"$ 3,359,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 1 Baño75 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/0ea18d5a-0191-4f3c-90f7-a81385fefb58/photos/0ea18d5a-0191-4f3c-90f7-a81385fefb58_2_False_6bfe4909-8fbc-4534-849a-3f0438973fba.jpg,[]
Local en  Arriendo,"$ 6,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliare - Julio Corredor desde 1960,4 Baños182 m²,https://cdn2.infocasas.com.uy/repo/img/6708387e90b40_infocdn__fb73fb87-a9d4-4207-b8a5-5fe387075acb,[]
Bodega en  Arriendo,"$ 12,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Nec Otium,2 Baños410 m²,https://cdn2.infocasas.com.uy/repo/img/66c6573d43f7d_infocdn__oqbzqoqmyjsumigw91y5jkedbwrtfxnvfljf5wj5jpg,[]
Oficina en arriendo,"$ 3,399,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 1 Baño60 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/4ab559d9-99ad-49a2-a495-03240301acdc/photos/4ab559d9-99ad-49a2-a495-03240301acdc_2_False_6992e979-4255-412e-9bed-5696f510e3b9.jpg,[]
Oficina en arriendo,"$ 2,649,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 1 Baño60 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/97a4b528-489b-4552-81c9-7058019aeabc/photos/97a4b528-489b-4552-81c9-7058019aeabc_2_False_156cb2ac-5f8f-4028-987f-09741f59b40c.jpg,[]
Bodega en arriendo,"$ 14,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Nec Otium,1 Habs. 4 Baños423 m²,https://cdn2.infocasas.com.uy/repo/img/66f6f045115a1_infocdn__hxiu3wy2a4iksoz0veecfa5oo6xl1d5f3904sui0jpg.jpg,[]
Oficina en arriendo,"$ 1,900,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Sonia Amparo Amaya,1 Ambiente 1 Baño50 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/2e2ac97d-9b42-40ce-9ae7-197ba5a804ba/photos/2e2ac97d-9b42-40ce-9ae7-197ba5a804ba_10_False_4e6b6e45-6976-4b5c-a787-2190293b0631.jpg,[]
Oficina en arriendo,"$ 3,729,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 1 Baño60 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/b31c193e-05bd-4cd5-b27e-45b726914f1b/photos/b31c193e-05bd-4cd5-b27e-45b726914f1b_2_False_2f2e50fe-39c6-4f6c-8a6e-a0fb8a5c27b7.jpg,[]
Bodega en  Arriendo,"$ 11,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Nec Otium,8 Baños650 m²,https://cdn2.infocasas.com.uy/repo/img/66c65f123acfd_infocdn__uvekn0k27gbmhnsyaxlu0zabdtmjrbps6yq80a1ujpg,[]
Oficina en arriendo,"$ 5,659,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 2 Baños75 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/87cf473c-6d98-4743-b143-24409da8f204/photos/87cf473c-6d98-4743-b143-24409da8f204_2_False_ca649804-5373-4c9e-a419-df8803a0dcc3.jpg,[]
Bodega en arriendo,"$ 9,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,L&V Inmobiliaria,1 Habs. 4 Baños480 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/4f9250c4-3393-408a-9705-af585e392c08/photos/4f9250c4-3393-408a-9705-af585e392c08_1_True_ca66cad8-7a26-4cb9-97cb-e9967d46fc45.jpg,[]
Oficina en  Arriendo,"$ 2,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliaria MG,1 Baño70 m²,https://cdn2.infocasas.com.uy/repo/img/66e9d7c4bbffc_infocdn__gr43382320240916030706jpg.jpg,[]
Local en  Arriendo,"$ 800,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Agudelo y Asociados Bienes Raices,1 Baño48 m²,https://cdn2.infocasas.com.uy/repo/img/66e9fd5b6a441_infocdn__mze7k8mtrckupxnkhwt1z5bo3svh7efzz1ffztybjpg.jpg,[]
Local en  Arriendo,"$ 38,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,KENY DUEÑAS MARKETING INMOBILIARIA,2 Baños520 m²,https://cdn2.infocasas.com.uy/repo/img/66c6902e13731_infocdn__znvaoqeu1v8qcus4crook5en6rvyvzmzfmw7qq1gjpg,[]
Oficina en  Arriendo,"$ 10,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Metro Negocios Inmobiliarios,2 Ambientes 1 Baño107 m²,https://cdn2.infocasas.com.uy/repo/img/6706fa1238881_infocdn__9rg6okzffenkqxpxa2itx0ma7lwulxyay9nej6iyjpg.jpg,[]
Oficina en  Arriendo,"$ 1,650,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,PASEO ESPAÑA ASESORIAS INMOBILIARIAS ABOGADOS,1 Baño60 m²,https://cdn2.infocasas.com.uy/repo/img/66cf953aae4c2_infocdn__udqmmif7sfx4lrmjvp8euxj7llqb306ioows6sytjpg.jpg,[]
Local en  Arriendo,"$ 2,300,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Caballero Matiz Inmobiliaria,1 Baño55 m²,https://cdn2.infocasas.com.uy/repo/img/66ce0a65b715e_infocdn__7dczdfan6cxpyawwszi4nlr21zklmetpawvhdgxfjpg,[]
"Oficina en arriendo, Bogotá - Santa Bárbara","$ 45,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Clave Soluciones Inmobiliarias,1 Ambiente 535 m²,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2023/2/24/83457964.jpg,[]
Oficina en  Arriendo,"$ 1,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INVERSIONES ARIAS EMPIRE SAS,1 Baño11.77 m²,https://cdn2.infocasas.com.uy/repo/img/66c0f642631a7_infocdn__bpxvswvb9cpfmjhsa4rylodwdpovjr43t7gteytcjpg,[]
Bodega en arriendo,"$ 24,800,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,"A-SEGURA CONSTRUCCIONES, DISEÑOS Y BIENES SAS",4 Baños850 m²,https://cdn2.infocasas.com.uy/repo/img/66c62a181789d_infocdn__e64399a9-4669-423e-a083-4cec3467fd2a,[]
Oficina en  Arriendo,"$ 41,035,500",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Cristian Herrera Agente Inmobiliario,1 Ambiente 414.5 m²,https://cdn2.infocasas.com.uy/repo/img/66fc0252c35c0_infocdn__rysosx0ekoqchizovxg7ocyeccgghktpdynt9krgjpg.jpg,[]
Bodega en arriendo,"$ 48,377,500",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Clave Soluciones Inmobiliarias,1 Habs. 10 Baños2615 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/b53149da-385a-4976-9a36-f45a2ed7f474/photos/b53149da-385a-4976-9a36-f45a2ed7f474_1_True_04e20fb5-c8db-4c82-9d6b-a12c0319c7d0.jpg,[]
Bodega en  Arriendo,"$ 16,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,PROYECTOS INMOBILIARIOS R.Q SAS,4 Baños523 m²,https://cdn2.infocasas.com.uy/repo/img/66f1df61cc133_infocdn__ibjhol4sqifpaqalilu4ifutnbvyl4ctmwsbifwcjpg.jpg,[]
Bodega en  Arriendo,"$ 15,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Sifra SAS,3 Baños435 m²,https://cdn2.infocasas.com.uy/repo/img/66f4812f5c186_infocdn__50133da2-eea8-409a-b6f2-045afd925012,[]
Bodega en  Arriendo,"$ 8,900,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Nobilis SAS,1 Baño410 m²,https://cdn2.infocasas.com.uy/repo/img/66e4bc26ca1da_infocdn__wkzvfdxwkrz97sox5iyefk5lpzocsjaj5tmwm8qfjpg.jpg,[]
Oficina en arriendo,"$ 49,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Clave Soluciones Inmobiliarias,1 Ambiente 10 Baños697 m²,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2023/1/17/82014238.jpg,[]
Oficina en  Arriendo,"$ 35,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,FEDERICO SANCHEZ,5 Ambientes 5 Baños600 m²,https://cdn2.infocasas.com.uy/repo/img/6708f733dd4e5_infocdn__48znrvojicj8m2tqzjidt8vzrqbiior7awtfqnjijpg.jpg,[]
Bodega en arriendo,"$ 15,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,GRUPO ACO INMOBILIARIA,1 Habs. 2 Baños500 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/70d8570f-8c59-47cd-88ed-9ccb20721e24/photos/70d8570f-8c59-47cd-88ed-9ccb20721e24_1_True_a0d163b4-869a-45f4-8499-3b48a7f24131.jpg,[]
Local en arriendo,"$ 2,850,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,CLARA INES PIÑEROS,1 Ambiente 1 Baño72.69 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/2d7187a6-d2eb-47fd-b18a-077d3261a28a/photos/2d7187a6-d2eb-47fd-b18a-077d3261a28a_1_True_60cbc15f-b8c0-4d21-ad4a-d5af6dc41dd9.jpg,[]
Local en  Arriendo,"$ 8,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,VIVANZA INMOBILIARIA,2 Baños160 m²,https://cdn2.infocasas.com.uy/repo/img/66eb31f3d9259_infocdn__wimyvvgmrxilhauszujouajbzg9hbefowibijq29jpg.jpg,[]
Oficina en  Arriendo,"$ 19,015,500",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Cristian Herrera Agente Inmobiliario,2 Baños279.64 m²,https://cdn2.infocasas.com.uy/repo/img/66f2ea0702e9f_infocdn__1cvrfnfbwdzffjiewawsbpins0gagpwnhdmynpawpng.png,[]
Bodega en arriendo,"$ 13,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Nobilis SAS,1 Habs. 2 Baños420 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/c2eed113-8708-4d49-b817-ef4fc3dbce0c/photos/c2eed113-8708-4d49-b817-ef4fc3dbce0c_7_False_f84fc746-db72-49b7-8b22-d1c87e305188.jpeg,[]
Oficina en  Arriendo,"$ 9,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliaria Peña Marin SAS,1 Baño137 m²,https://cdn2.infocasas.com.uy/repo/img/669a478e384dc_infocdn__yw7gga8prlupxrf9bxu1ijswx6ambx0eathjnt9mjpg,[]
Local en  Arriendo,"$ 15,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Gracia Asociados Finca Raíz Realtor Business,1 Baño273 m²,https://cdn2.infocasas.com.uy/repo/img/66edcefb73671_infocdn__dba89cf4-84d4-40df-adc1-64996a24efbd,[]
Local en arriendo,"$ 37,150,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Isarco Inmobiliaria SAS,1 Ambiente 1 Baño867.9 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/361e8022-8fc3-49d0-851a-7a819c5329bd/photos/361e8022-8fc3-49d0-851a-7a819c5329bd_1_True_7606342e-8829-4e33-8ac5-05b39146dc20.jpg,[]
Bodega en arriendo,"$ 8,800,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Administradora Aaval Ltda,3 Baños365 m²,https://cdn2.infocasas.com.uy/repo/img/6708244da92fc_infocdn__64043cb4-5430-4d47-8deb-24fdfe37ced5,[]
Bodega en  Arriendo,"$ 48,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliaria MG,1 Habs. 3 Baños1500 m²,https://cdn2.infocasas.com.uy/repo/img/66e9d13869c2b_infocdn__gr43382320240902103916jpeg.jpeg,[]
Oficina en arriendo,"$ 13,980,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Clave Soluciones Inmobiliarias,1 Ambiente 2 Baños233 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/8fb0cc96-0925-4fd3-a204-e034c910a00c/photos/8fb0cc96-0925-4fd3-a204-e034c910a00c_1_True_fe99bdcd-cc28-45f5-afc7-ef0f44643ff3.jpg,[]
Oficina en  Arriendo,"$ 11,663,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Escobar Salamanca y Cia Ltda,190 m²,https://cdn2.infocasas.com.uy/repo/img/66ba2fed38f14_infocdn__m8ioxzxvxzfeqqqj9wflvcckarrpgsrhhv9s6xkfjpg,[]
Oficina en arriendo,"$ 740,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Remax Focus,1 Baño14 m²,https://cdn2.infocasas.com.uy/repo/img/670a7bbed233d_infocdn__31108240-1-1720809846jpg.jpg,[]
Oficina en  Arriendo,"$ 5,900,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,G.Catch Bienes Raices,1 Baño81 m²,https://cdn2.infocasas.com.uy/repo/img/66eca1ac62601_infocdn__gr254542020240822122633jpeg.jpeg,[]
Oficina en arriendo,"$ 14,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Clave Soluciones Inmobiliarias,1 Ambiente 6 Baños208 m²,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/12/1/80755951.jpg,[]
Local en  Arriendo,"$ 2,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,PASEO ESPAÑA ASESORIAS INMOBILIARIAS ABOGADOS,1 Baño37 m²,https://cdn2.infocasas.com.uy/repo/img/66d784e5789e1_infocdn__ctmwhnhxzpgkav1aivu4rfilbzdpw5yzsdrl2czkjpg.jpg,[]
Local en arriendo,"$ 48,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,TU HABITAT INMOBILIARIA SAS,1 Ambiente 131 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/a7720ee5-ee99-48af-9d9f-553e8c9ee660/photos/a7720ee5-ee99-48af-9d9f-553e8c9ee660_1_True_79c14146-a807-49de-aad2-b41b84471390.jpg,[]
Bodega en  Arriendo,"$ 4,800,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,House Soluciones Inmobiliarias,2 Baños187 m²,https://cdn2.infocasas.com.uy/repo/img/66ec5f0092736_infocdn__gr178742120240918063053jpeg.jpeg,[]
Local en  Arriendo,"$ 3,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,PASEO ESPAÑA ASESORIAS INMOBILIARIAS ABOGADOS,1 Baño59 m²,https://cdn2.infocasas.com.uy/repo/img/66d7842a2446a_infocdn__hucjyuw7vh5jxkzajmbz05bwyvvrmevovvhpnxhyjpg.jpg,[]
Local en arriendo,"$ 6,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Trato Hecho Bienes Raices,1 Ambiente 2 Baños200 m²,https://cdn2.infocasas.com.uy/repo/img/66ce0d6850c7c_infocdn__zbdztt3j25xcsmbyypv27nkdrilmfgcltucqoi5ajpg,[]
Bodega en  Arriendo,"$ 158,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,FINCARAIZBODEGAS.COM SAS,10 Baños9000 m²,https://cdn2.infocasas.com.uy/repo/img/66ed143539fdc_infocdn__gr15947320240229114054png.png,[]
Oficina en arriendo,"$ 14,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Clave Soluciones Inmobiliarias,1 Ambiente 6 Baños290 m²,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2023/3/30/84701896.jpg,[]
Bodega en  Arriendo,"$ 50,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,House Soluciones Inmobiliarias,6 Baños2048 m²,https://cdn2.infocasas.com.uy/repo/img/66ec568169127_infocdn__gr17874720210121050134jpg.jpg,[]
Oficina en arriendo,"$ 1,600,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA SALGUERO SAS,1 Ambiente 1 Baño34 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/85e25ad0-38ee-48fd-bda7-76376f542be8/photos/85e25ad0-38ee-48fd-bda7-76376f542be8_1_True_c9766d1d-c8c9-41e3-b841-dfb59944c452.jpg,[]
Local en arriendo,"$ 3,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,GMT Grupo Inmobiliario,1 Ambiente 1 Baño60 m²,https://cdn2.infocasas.com.uy/repo/img/66d64bd1daf43_infocdn__gr-se-arrienda-local-en-prado-ver-1722616052-4064-1912jpg.jpg,[]
Oficina en arriendo,"$ 2,900,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA SALGUERO SAS,1 Ambiente 62 m²,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2022/7/27/3800516_931_0.jpg,[]
Bodega en  Arriendo,"$ 20,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,232 m²,https://cdn2.infocasas.com.uy/repo/img/670681e77ae11_infocdn__70e1414f-b5c9-4cf6-bca4-26469115463c,[]
Bodega en arriendo,"$ 80,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,CORPORATE REAL ESTATE,1 Habs. 9 Baños5100 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/e18b84c7-9f15-457f-80e1-77150a49edf7/photos/e18b84c7-9f15-457f-80e1-77150a49edf7_0_True_f250b35f-43e4-478f-9434-c12fec929881.jpg,[]
Bodega en  Arriendo,"$ 9,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,3 Baños294 m²,https://cdn2.infocasas.com.uy/repo/img/66fec87a748f2_infocdn__bd4cb349-f0e7-405a-8444-3751dac832df,[]
Local en  Arriendo,"$ 15,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Area M2,3 Baños308 m²,https://cdn2.infocasas.com.uy/repo/img/66ec636e027c7_infocdn__gr62312820240916100203jpg.jpg,[]
Bodega en  Arriendo,"$ 29,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,4 Baños1300 m²,https://cdn2.infocasas.com.uy/repo/img/6705a437b7ddd_infocdn__9128c7ee-5fd9-4c7e-aabc-7dcb4aafd970,[]
Bodega en  Arriendo,"$ 11,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,6 Baños300 m²,https://cdn2.infocasas.com.uy/repo/img/66dbc2a01b183_infocdn__90c52556-57a1-4d77-8aa0-a736eee9ebd1,[]
Local en arriendo,"$ 8,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Samia Dajud Investment Realty,1 Ambiente 120 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/a734274a-88cb-4b63-ab67-be19cb22201e/photos/a734274a-88cb-4b63-ab67-be19cb22201e_1_True_a2cda85b-a88a-44dc-ae43-a63010fe5c84.jpg,[]
Oficina en arriendo,"$ 15,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Remax Platinum,10 Ambientes 4 Baños470 m²,https://cdn2.infocasas.com.uy/repo/img/66d10f0bb4ac6_infocdn__121132623-1-1724967531jpg.jpg,[]
Bodega en  Arriendo,"$ 54,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,6 Baños1480 m²,https://cdn2.infocasas.com.uy/repo/img/66faddc800224_infocdn__f0c48397-c1b2-402f-ac2b-58cd660c64b4,[]
Bodega en  Arriendo,"$ 54,171,400",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,7 Baños2257 m²,https://cdn2.infocasas.com.uy/repo/img/66dbc4236d7c7_infocdn__cbd507e1-5a9e-48e6-a194-5ada544a320c,[]
Oficina en arriendo,"$ 12,793,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Area M2,1 Ambiente 4 Baños183 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/cb02b8db-3141-4f6d-b97e-d8f1a0e42d1a/photos/cb02b8db-3141-4f6d-b97e-d8f1a0e42d1a_0_True_b2691451-ad94-455a-8551-9918f17526cc.jpeg,[]
Oficina en arriendo,"$ 4,126,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 1 Baño30 m²,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2023/1/6/4050312_496_0.jpg,[]
Oficina en  Arriendo,"$ 4,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,L&V Inmobiliaria,8 Baños250 m²,https://cdn2.infocasas.com.uy/repo/img/667b35fa7058a_infocdn__lmnpylfgizhqb0cavtz77kgaldyamrqudj9qf3pzjpg,[]
Oficina en arriendo,"$ 3,465,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 75 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/c0bd4c47-60d3-4477-92ac-3575f2123c06/photos/c0bd4c47-60d3-4477-92ac-3575f2123c06_1_True_71b0f419-ca50-47ef-8d38-d89a3127ccbb.jpg,[]
Bodega en  Arriendo,"$ 24,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,3 Baños650 m²,https://cdn2.infocasas.com.uy/repo/img/6705a43e5bb53_infocdn__d3eaedc0-2a7e-4057-ae4e-4c2162f4ecb9,[]
Bodega en  Arriendo,"$ 72,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,1800 m²,https://cdn2.infocasas.com.uy/repo/img/66fadde45afa0_infocdn__1031e481-37e9-44b4-b47a-8c04ff2d0b92,[]
Bodega en  Arriendo,"$ 31,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,600 m²,https://cdn2.infocasas.com.uy/repo/img/6705a44402d96_infocdn__88331119-c7c7-4bc2-9b05-132d4e3361e5,[]
Bodega en  Arriendo,"$ 7,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,4 Baños319 m²,https://cdn2.infocasas.com.uy/repo/img/66dbc24d39773_infocdn__0399906c-3468-4d1c-a57a-bb42e905b3f4,[]
Bodega en  Arriendo,"$ 9,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,4 Baños420 m²,https://cdn2.infocasas.com.uy/repo/img/6705a3bfae3ad_infocdn__6758a8e5-ee2a-4007-ba8a-2725591ef4f4,[]
Oficina en arriendo,"$ 5,079,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 2 Baños75 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/8a2e675c-d916-42e6-a429-ac7028846cde/photos/8a2e675c-d916-42e6-a429-ac7028846cde_2_False_5dd6adee-db94-4619-886b-1f0375c01e76.jpg,[]
Bodega en  Arriendo,"$ 31,500,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,4 Baños1100 m²,https://cdn2.infocasas.com.uy/repo/img/66fb381ccc309_infocdn__cade11ca-4d34-4237-8f5c-57a2c6ab5799,[]
Local en  Arriendo,"$ 14,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,LATORRE FINCA RAIZ,2 Baños220 m²,https://cdn2.infocasas.com.uy/repo/img/66fad197150b6_infocdn__5301737-1-1727713018png.png,[]
Local en arriendo,"$ 4,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Samia Dajud Investment Realty,1 Ambiente 50 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/1a30cca0-2b5e-460c-8b80-1353bb99a800/photos/1a30cca0-2b5e-460c-8b80-1353bb99a800_1_True_b77ff393-82ad-4a35-b06d-d2861d6c3a2b.jpg,[]
Local en  Arriendo,"$ 1,700,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Inmobiliaria Babel,2 Baños120 m²,https://cdn2.infocasas.com.uy/repo/img/66e8a9e150988_infocdn__11fa9611-be98-40b2-b5c7-668c55c10d46,[]
Bodega en  Arriendo,"$ 32,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,INMOBILIARIA PREMIUM,5 Baños1200 m²,https://cdn2.infocasas.com.uy/repo/img/6705a363190a3_infocdn__a2679a31-d19c-4d14-8bdb-6249ea548066,[]
Oficina en  Arriendo,"$ 1,300,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,ANA VARGAS REYES,3 Ambientes 1 Baño70 m²,https://cdn2.infocasas.com.uy/repo/img/66eca04779f79_infocdn__tnjggh98ltnha9yaifvr4iytqhgiahelg6cmawk6jpg.jpg,[]
Oficina en  Arriendo,"$ 10,000,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Area M2,2 Ambientes 2 Baños118 m²,https://cdn2.infocasas.com.uy/repo/img/66f2118b493ab_infocdn__gr623121420220701032809jpg.jpg,[]
Oficina en arriendo,"$ 2,249,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 1 Baño60 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/fbf28ae2-21d4-4b72-9a9e-5966d4b79930/photos/fbf28ae2-21d4-4b72-9a9e-5966d4b79930_2_False_1adb2b53-b1e6-4796-8432-9b34b8e28439.jpg,[]
Oficina en arriendo,"$ 5,719,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Regus Colombia Ltda,1 Ambiente 2 Baños75 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/614aab42-cb55-47c9-99d4-570ae9750eec/photos/614aab42-cb55-47c9-99d4-570ae9750eec_2_False_e14fb17d-4d33-4c55-b055-8a7cc6db4646.jpg,[]
Oficina en arriendo,"$ 6,400,000",No disponible,"Bogotá, Bogotá, d.c.",No disponible,Samia Dajud Investment Realty,1 Ambiente 1 Baño95.51 m²,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/original/site/fincaraiz_service/media/listing/5bbcd8cb-a349-4bb8-99f5-dde16cfcd731/photos/5bbcd8cb-a349-4bb8-99f5-dde16cfcd731_1_True_9b3c49ba-6718-4bfa-8389-5b2eec1b87fd.jpg,[]
